product_id,year_month,monthly_qty,monthly_revenue,monthly_profit,monthly_transactions,avg_discount,promo_flag,lag_1,lag_2,lag_3,rolling_3,rolling_6,year,month,quarter,month_sin,month_cos,current_stock,reorder_level,safety_stock,lead_time_days,max_capacity,stockout_days,stockout_flag,supplier_id,delivery_lead_time_days,reliability_score
1,2023-01-01,13.0,116778.30000000002,-3305.0,2.0,0.16999999999999998,0.0,0.0,0.0,0.0,13.0,13.0,2023,1,1,0.49999999999999994,0.8660254037844387,98,74,94,23,1288,0.0,0,6,14,0.52
1,2023-02-01,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,6.5,6.5,2023,2,1,0.8660254037844386,0.5000000000000001,98,74,94,23,1288,0.0,0,6,14,0.52
1,2023-03-01,7.0,74518.78,9858.52,1.0,0.01,0.0,0.0,13.0,0.0,6.666666666666667,6.666666666666667,2023,3,1,1.0,6.123233995736766e-17,98,74,94,23,1288,0.0,0,6,14,0.52
1,2023-04-01,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,13.0,2.3333333333333335,5.0,2023,4,2,0.8660254037844387,-0.4999999999999998,98,74,94,23,1288,0.0,0,6,14,0.52
1,2023-05-01,9.0,94842.09,11707.46,1.0,0.02,1.0,0.0,7.0,0.0,5.333333333333333,5.8,2023,5,2,0.49999999999999994,-0.8660254037844387,98,74,94,23,1288,0.0,0,6,14,0.52
1,2023-06-01,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,7.0,3.0,4.833333333333333,2023,6,2,1.2246467991473532e-16,-1.0,98,74,94,23,1288,0.0,0,6,14,0.52
1,2023-07-01,2.0,20645.9,2171.53,1.0,0.04,0.0,0.0,9.0,0.0,3.6666666666666665,3.0,2023,7,3,-0.4999999999999997,-0.8660254037844388,98,74,94,23,1288,0.0,0,6,14,0.52
1,2023-08-01,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,9.0,0.6666666666666666,3.0,2023,8,3,-0.8660254037844385,-0.5000000000000004,98,74,94,23,1288,0.0,0,6,14,0.52
1,2023-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.6666666666666666,1.8333333333333333,2023,9,3,-1.0,-1.8369701987210297e-16,98,74,94,23,1288,0.0,0,6,14,0.52
1,2023-10-01,3.0,27742.92,31.38,1.0,0.14,0.0,0.0,0.0,2.0,1.0,2.3333333333333335,2023,10,4,-0.8660254037844386,0.5000000000000001,98,74,94,23,1288,0.0,0,6,14,0.52
1,2023-11-01,10.0,98928.2,6556.45,2.0,0.08,0.0,3.0,0.0,0.0,4.333333333333333,2.5,2023,11,4,-0.5000000000000004,0.8660254037844384,98,74,94,23,1288,0.0,0,6,14,0.52
1,2023-12-01,0.0,0.0,0.0,0.0,0.0,0.0,10.0,3.0,0.0,4.333333333333333,2.5,2023,12,4,-2.4492935982947064e-16,1.0,98,74,94,23,1288,0.0,0,6,14,0.52
1,2024-01-01,1.0,9032.58,-204.6,1.0,0.16,0.0,0.0,10.0,3.0,3.6666666666666665,2.3333333333333335,2024,1,1,0.49999999999999994,0.8660254037844387,98,74,94,23,1288,0.0,0,6,14,0.52
1,2024-02-01,7.0,70110.0,5449.75,2.0,0.06,0.0,1.0,0.0,10.0,2.6666666666666665,3.5,2024,2,1,0.8660254037844386,0.5000000000000001,98,74,94,23,1288,0.0,0,6,14,0.52
1,2024-03-01,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,2.6666666666666665,3.5,2024,3,1,1.0,6.123233995736766e-17,98,74,94,23,1288,0.0,0,6,14,0.52
1,2024-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,2.3333333333333335,3.0,2024,4,2,0.8660254037844387,-0.4999999999999998,98,74,94,23,1288,0.0,0,6,14,0.52
1,2024-05-01,3.0,24516.99,-3194.54,1.0,0.24,0.0,0.0,0.0,7.0,1.0,1.8333333333333333,2024,5,2,0.49999999999999994,-0.8660254037844387,98,74,94,23,1288,0.0,0,6,14,0.52
1,2024-06-01,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,1.8333333333333333,2024,6,2,1.2246467991473532e-16,-1.0,98,74,94,23,1288,0.0,0,6,14,0.52
2,2023-01-01,3.0,22903.44,9488.26,1.0,0.02,0.0,0.0,0.0,0.0,3.0,3.0,2023,1,1,0.49999999999999994,0.8660254037844387,304,45,8,16,1431,0.0,0,7,29,0.8
2,2023-02-01,8.0,59829.399999999994,24055.59,2.0,0.04,0.0,3.0,0.0,0.0,5.5,5.5,2023,2,1,0.8660254037844386,0.5000000000000001,304,45,8,16,1431,0.0,0,7,29,0.8
2,2023-03-01,0.0,0.0,0.0,0.0,0.0,0.0,8.0,3.0,0.0,3.6666666666666665,3.6666666666666665,2023,3,1,1.0,6.123233995736766e-17,304,45,8,16,1431,0.0,0,7,29,0.8
2,2023-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,3.0,2.6666666666666665,2.75,2023,4,2,0.8660254037844387,-0.4999999999999998,304,45,8,16,1431,0.0,0,7,29,0.8
2,2023-05-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,2.2,2023,5,2,0.49999999999999994,-0.8660254037844387,304,45,8,16,1431,0.0,0,7,29,0.8
2,2023-06-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8333333333333333,2023,6,2,1.2246467991473532e-16,-1.0,304,45,8,16,1431,0.0,0,7,29,0.8
2,2023-07-01,3.0,22669.74,9254.55,1.0,0.03,0.0,0.0,0.0,0.0,1.0,1.8333333333333333,2023,7,3,-0.4999999999999997,-0.8660254037844388,304,45,8,16,1431,0.0,0,7,29,0.8
2,2023-08-01,4.0,29914.72,12027.79,1.0,0.04,1.0,3.0,0.0,0.0,2.3333333333333335,1.1666666666666667,2023,8,3,-0.8660254037844385,-0.5000000000000004,304,45,8,16,1431,0.0,0,7,29,0.8
2,2023-09-01,7.0,46897.55,15595.44,1.0,0.14,0.0,4.0,3.0,0.0,4.666666666666667,2.3333333333333335,2023,9,3,-1.0,-1.8369701987210297e-16,304,45,8,16,1431,0.0,0,7,29,0.8
2,2023-10-01,10.0,72060.18,27342.879999999997,2.0,0.105,1.0,7.0,4.0,3.0,7.0,4.0,2023,10,4,-0.8660254037844386,0.5000000000000001,304,45,8,16,1431,0.0,0,7,29,0.8
2,2023-11-01,9.0,59595.75,19350.15,1.0,0.15,0.0,10.0,7.0,4.0,8.666666666666666,5.5,2023,11,4,-0.5000000000000004,0.8660254037844384,304,45,8,16,1431,0.0,0,7,29,0.8
2,2023-12-01,1.0,5998.52,1526.79,1.0,0.23,0.0,9.0,10.0,7.0,6.666666666666667,5.666666666666667,2023,12,4,-2.4492935982947064e-16,1.0,304,45,8,16,1431,0.0,0,7,29,0.8
