product_id,year_month,current_stock,reorder_level,safety_stock,lead_time_days,max_capacity,supplier_id,delivery_lead_time_days,reliability_score,year,month,quarter,month_sin,month_cos,monthly_transactions,avg_discount,promo_flag,stockout_days,stockout_flag,lag_1,lag_2,lag_3,rolling_3,rolling_6,monthly_qty
1,2024-07-01,98,74,94,23,1288,6,14,0.52,2024,7,3,-0.4999999999999997,-0.8660254037844388,0.6666666666666666,0.05111111111111111,0,0,0,0.0,3.0,0.0,1.0,1.8333333333333333,-0.0836745
1,2024-08-01,98,74,94,23,1288,6,14,0.52,2024,8,3,-0.8660254037844385,-0.5000000000000004,0.6666666666666666,0.05111111111111111,0,0,0,-0.08367449790239334,0.0,3.0,0.9721085006992022,1.6527209170162678,-0.03591947
1,2024-09-01,98,74,94,23,1288,6,14,0.52,2024,9,3,-1.0,-1.8369701987210297e-16,0.6666666666666666,0.05111111111111111,0,0,0,-0.035919468849897385,-0.08367449790239334,0.0,-0.03986465558409691,0.48006767220795155,-0.112918444
1,2024-10-01,98,74,94,23,1288,6,14,0.52,2024,10,4,-0.8660254037844386,0.5000000000000001,0.6666666666666666,0.05111111111111111,0,0,0,-0.1129184439778328,-0.035919468849897385,-0.08367449790239334,-0.07750413691004117,0.4612479315449794,-0.11245499
1,2024-11-01,98,74,94,23,1288,6,14,0.52,2024,11,4,-0.5000000000000004,0.8660254037844384,0.6666666666666666,0.05111111111111111,0,0,0,-0.11245498806238174,-0.1129184439778328,-0.035919468849897385,-0.08709763363003731,0.44250543353458244,-0.1056062
1,2024-12-01,98,74,94,23,1288,6,14,0.52,2024,12,4,-2.4492935982947064e-16,1.0,0.6666666666666666,0.05111111111111111,0,0,0,-0.10560619831085205,-0.11245498806238174,-0.1129184439778328,-0.11032654345035553,-0.07509559951722622,-0.11797467
1,2025-01-01,98,74,94,23,1288,6,14,0.52,2025,1,1,0.49999999999999994,0.8660254037844387,0.6666666666666666,0.05111111111111111,0,0,0,-0.1179746687412262,-0.10560619831085205,-0.11245498806238174,-0.11201195170481999,-0.09475804430743058,-0.07591172
1,2025-02-01,98,74,94,23,1288,6,14,0.52,2025,2,1,0.8660254037844386,0.5000000000000001,0.6666666666666666,0.05111111111111111,0,0,0,-0.07591172307729721,-0.1179746687412262,-0.10560619831085205,-0.09983086337645848,-0.0934642485032479,-0.08297856
1,2025-03-01,98,74,94,23,1288,6,14,0.52,2025,3,1,1.0,6.123233995736766e-17,0.6666666666666666,0.05111111111111111,0,0,0,-0.08297856152057648,-0.07591172307729721,-0.1179746687412262,-0.09228831777969997,-0.10130743061502774,-0.11633951
1,2025-04-01,98,74,94,23,1288,6,14,0.52,2025,4,2,0.8660254037844387,-0.4999999999999998,0.6666666666666666,0.05111111111111111,0,0,0,-0.11633951216936111,-0.08297856152057648,-0.07591172307729721,-0.09174326558907826,-0.10187760864694913,-0.11633951
1,2025-05-01,98,74,94,23,1288,6,14,0.52,2025,5,2,0.49999999999999994,-0.8660254037844387,0.6666666666666666,0.05111111111111111,0,0,0,-0.11633951216936111,-0.11633951216936111,-0.08297856152057648,-0.1052191952864329,-0.1025250293314457,-0.12619068
1,2025-06-01,98,74,94,23,1288,6,14,0.52,2025,6,2,1.2246467991473532e-16,-1.0,0.6666666666666666,0.05111111111111111,0,0,0,-0.1261906772851944,-0.11633951216936111,-0.11633951216936111,-0.11962323387463887,-0.10595577582716942,-0.12619068
2,2024-07-01,304,45,8,16,1431,7,29,0.8,2024,7,3,-0.4999999999999997,-0.8660254037844388,0.9444444444444444,0.06805555555555556,0,0,0,0.0,0.0,6.0,2.0,3.5,1.210344
2,2024-08-01,304,45,8,16,1431,7,29,0.8,2024,8,3,-0.8660254037844385,-0.5000000000000004,0.9444444444444444,0.06805555555555556,0,0,0,1.2103439569473267,0.0,0.0,0.4034479856491089,3.035057326157888,-0.2834258
2,2024-09-01,304,45,8,16,1431,7,29,0.8,2024,9,3,-1.0,-1.8369701987210297e-16,0.9444444444444444,0.06805555555555556,0,0,0,-0.28342580795288086,1.2103439569473267,0.0,0.30897271633148193,2.3211530248324075,-0.3986664
2,2024-10-01,304,45,8,16,1431,7,29,0.8,2024,10,4,-0.8660254037844386,0.5000000000000001,0.9444444444444444,0.06805555555555556,0,0,0,-0.3986664116382599,-0.28342580795288086,1.2103439569473267,0.17608391245206198,1.088041956226031,-0.20468761
2,2024-11-01,304,45,8,16,1431,7,29,0.8,2024,11,4,-0.5000000000000004,0.8660254037844384,0.9444444444444444,0.06805555555555556,0,0,0,-0.20468761026859283,-0.3986664116382599,-0.28342580795288086,-0.2955932766199112,0.053927354514598846,-0.109288484
2,2024-12-01,304,45,8,16,1431,7,29,0.8,2024,12,4,-2.4492935982947064e-16,1.0,0.9444444444444444,0.06805555555555556,0,0,0,-0.10928848385810852,-0.20468761026859283,-0.3986664116382599,-0.23754750192165375,0.03571260720491409,-0.109288484
2,2025-01-01,304,45,8,16,1431,7,29,0.8,2025,1,1,0.49999999999999994,0.8660254037844387,0.9444444444444444,0.06805555555555556,0,0,0,-0.10928848385810852,-0.10928848385810852,-0.20468761026859283,-0.1410881926616033,0.01749785989522934,-0.065811664
2,2025-02-01,304,45,8,16,1431,7,29,0.8,2025,2,1,0.8660254037844386,0.5000000000000001,0.9444444444444444,0.06805555555555556,0,0,0,-0.06581166386604309,-0.10928848385810852,-0.10928848385810852,-0.09479621052742004,-0.19519474357366562,-0.05801258
2,2025-03-01,304,45,8,16,1431,7,29,0.8,2025,3,1,1.0,6.123233995736766e-17,0.9444444444444444,0.06805555555555556,0,0,0,-0.05801257863640785,-0.06581166386604309,-0.10928848385810852,-0.07770424212018649,-0.15762587202092013,-0.1031821
2,2025-04-01,304,45,8,16,1431,7,29,0.8,2025,4,2,0.8660254037844387,-0.4999999999999998,0.9444444444444444,0.06805555555555556,0,0,0,-0.1031820997595787,-0.05801257863640785,-0.06581166386604309,-0.07566878075400989,-0.10837848670780659,-0.1031821
2,2025-05-01,304,45,8,16,1431,7,29,0.8,2025,5,2,0.49999999999999994,-0.8660254037844387,0.9444444444444444,0.06805555555555556,0,0,0,-0.1031820997595787,-0.1031820997595787,-0.05801257863640785,-0.08812559271852176,-0.0914609016229709,-0.11303326
2,2025-06-01,304,45,8,16,1431,7,29,0.8,2025,6,2,1.2246467991473532e-16,-1.0,0.9444444444444444,0.06805555555555556,0,0,0,-0.11303325742483139,-0.1031820997595787,-0.1031820997595787,-0.1064658189813296,-0.09208503055075805,-0.11303326
3,2024-07-01,83,34,94,11,1017,8,10,0.98,2024,7,3,-0.4999999999999997,-0.8660254037844388,0.7777777777777778,0.07861111111111112,0,0,0,7.0,0.0,0.0,2.3333333333333335,3.6666666666666665,-0.35803497
3,2024-08-01,83,34,94,11,1017,8,10,0.98,2024,8,3,-0.8660254037844385,-0.5000000000000004,0.7777777777777778,0.07861111111111112,0,0,0,-0.35803496837615967,7.0,0.0,2.2139883438746133,2.2736608386039734,-0.5064538
3,2024-09-01,83,34,94,11,1017,8,10,0.98,2024,9,3,-1.0,-1.8369701987210297e-16,0.7777777777777778,0.07861111111111112,0,0,0,-0.506453812122345,-0.35803496837615967,7.0,2.0451704065004983,2.189251869916916,1.1674588
3,2024-10-01,83,34,94,11,1017,8,10,0.98,2024,10,4,-0.8660254037844386,0.5000000000000001,0.7777777777777778,0.07861111111111112,0,0,0,1.1674587726593018,-0.506453812122345,-0.35803496837615967,0.10098999738693237,1.217161665360133,-0.23920617
3,2024-11-01,83,34,94,11,1017,8,10,0.98,2024,11,4,-0.5000000000000004,0.8660254037844384,0.7777777777777778,0.07861111111111112,0,0,0,-0.23920616507530212,1.1674587726593018,-0.506453812122345,0.14059959848721823,1.1772939711809158,-0.33655408
3,2024-12-01,83,34,94,11,1017,8,10,0.98,2024,12,4,-2.4492935982947064e-16,1.0,0.7777777777777778,0.07861111111111112,0,0,0,-0.33655408024787903,-0.23920616507530212,1.1674587726593018,0.19723284244537354,1.121201624472936,-0.25594714
